Datetime,Water Level (m)
2023-07-31 12:00:00,-1.3463315
2023-07-31 13:00:00,-1.2429458
2023-07-31 14:00:00,-0.36573306
2023-07-31 15:00:00,0.6214335
2023-07-31 16:00:00,1.4988663
2023-07-31 17:00:00,2.0321913
2023-07-31 18:00:00,2.2182965
2023-07-31 19:00:00,2.0171602
2023-07-31 20:00:00,1.4033924
2023-07-31 21:00:00,0.55225533
2023-07-31 22:00:00,-0.35503483
2023-07-31 23:00:00,-1.1386038
2023-08-01 00:00:00,-1.5979208
2023-08-01 01:00:00,-1.324878
2023-08-01 02:00:00,-0.19533542
2023-08-01 03:00:00,0.8730761
2023-08-01 04:00:00,1.8824611
2023-08-01 05:00:00,2.61755
2023-08-01 06:00:00,3.0592058
2023-08-01 07:00:00,3.073243
2023-08-01 08:00:00,2.5929306
2023-08-01 09:00:00,1.7783748
2023-08-01 10:00:00,0.73356247
2023-08-01 11:00:00,-0.23409607
2023-08-01 12:00:00,-0.97504234
2023-08-01 13:00:00,-1.2966497
2023-08-01 14:00:00,-0.7045601
2023-08-01 15:00:00,0.41474593
2023-08-01 16:00:00,1.4472669
2023-08-01 17:00:00,2.2405834
2023-08-01 18:00:00,2.6666589
2023-08-01 19:00:00,2.685003
2023-08-01 20:00:00,2.259308
2023-08-01 21:00:00,1.5146997
2023-08-01 22:00:00,0.5019197
2023-08-01 23:00:00,-0.4551861
2023-08-02 00:00:00,-1.2394669
2023-08-02 01:00:00,-1.6451545
2023-08-02 02:00:00,-1.1389441
2023-08-02 03:00:00,0.29103127
2023-08-02 04:00:00,1.5057651
2023-08-02 05:00:00,2.5225115
2023-08-02 06:00:00,3.1268144
2023-08-02 07:00:00,3.27783
2023-08-02 08:00:00,2.9646282
2023-08-02 09:00:00,2.2421663
2023-08-02 10:00:00,1.1885344
2023-08-02 11:00:00,0.119611956
2023-08-02 12:00:00,-0.83574295
2023-08-02 13:00:00,-1.6033144
2023-08-02 14:00:00,-1.8036997
2023-08-02 15:00:00,-1.0410768
2023-08-02 16:00:00,0.35249293
2023-08-02 17:00:00,1.47882
2023-08-02 18:00:00,2.2844965
2023-08-02 19:00:00,2.6579247
2023-08-02 20:00:00,2.5866082
2023-08-02 21:00:00,2.060626
2023-08-02 22:00:00,1.2328843
2023-08-02 23:00:00,0.1856585
2023-08-03 00:00:00,-0.7818589
2023-08-03 01:00:00,-1.5972089
2023-08-03 02:00:00,-1.8789781
2023-08-03 03:00:00,-1.1544516
2023-08-03 04:00:00,0.33812946
2023-08-03 05:00:00,1.5853165
2023-08-03 06:00:00,2.5609555
2023-08-03 07:00:00,3.0848176
2023-08-03 08:00:00,3.1402836
2023-08-03 09:00:00,2.7105412
2023-08-03 10:00:00,1.908967
2023-08-03 11:00:00,0.7924857
2023-08-03 12:00:00,-0.29571638
2023-08-03 13:00:00,-1.2458674
2023-08-03 14:00:00,-1.9023206
2023-08-03 15:00:00,-2.031851
2023-08-03 16:00:00,-0.66443217
2023-08-03 17:00:00,0.64374816
